iter	Passed	Remaining
0	0	85
1	1	76
2	1	71
3	2	68
4	2	66
5	3	64
6	3	63
7	4	61
8	4	60
9	5	59
10	5	57
11	5	56
12	6	55
13	6	55
14	7	54
15	7	54
16	8	54
17	8	53
18	9	52
19	9	51
20	9	50
21	10	49
22	10	48
23	11	48
24	11	47
25	11	46
26	12	45
27	12	44
28	12	44
29	13	43
30	13	42
31	14	42
32	14	41
33	14	40
34	15	40
35	15	39
36	15	39
37	16	38
38	16	37
39	16	37
40	17	36
41	17	36
42	17	35
43	18	34
44	18	34
45	18	33
46	19	33
47	19	32
48	19	31
49	20	31
50	20	30
51	20	30
52	20	29
53	21	29
54	21	28
55	21	27
56	21	27
57	22	26
58	22	26
59	22	25
60	22	25
61	23	24
62	23	24
63	23	23
64	24	23
65	24	22
66	24	22
67	24	21
68	25	21
69	25	20
70	25	20
71	25	20
72	26	19
73	26	19
74	26	18
75	26	18
76	27	17
77	27	17
78	27	17
79	27	16
80	27	16
81	28	15
82	28	15
83	28	14
84	28	14
85	28	14
86	29	13
87	29	13
88	29	12
89	29	12
90	29	12
91	30	11
92	30	11
93	30	11
94	30	10
95	30	10
96	31	9
97	31	9
98	31	9
99	31	8
100	31	8
101	32	8
102	32	7
103	32	7
104	32	7
105	32	6
106	33	6
107	33	6
108	33	5
109	33	5
110	33	5
111	34	4
112	34	4
113	34	4
114	34	3
115	34	3
116	35	3
117	35	2
118	35	2
119	35	2
120	35	2
121	36	1
122	36	1
123	36	1
124	36	0
125	36	0
126	37	0
127	37	0
